Company_ID,Vendor_id,Vendor_Grouping_dk_fresh
DK91,400503,Schulstad
DK91,425039,Schulstad
DK91,400623,Schulstad
DK91,423713,Pågen
DK91,425137,Kohberg
DK91,425540,Øvrige Leverandører
DK91,425544,Øvrige Leverandører
DK91,425524,Øvrige Leverandører
DK91,425541,Øvrige Leverandører
DK91,420560,Øvrige Leverandører
DK91,425543,Øvrige Leverandører
DK91,425523,Øvrige Leverandører
DK91,425545,Øvrige Leverandører
DK91,425538,Øvrige Leverandører
DK91,401234,Øvrige Leverandører
DK91,425542,Øvrige Leverandører
DK91,425521,Øvrige Leverandører
DK91,424562,Øvrige Leverandører
DK91,425546,Øvrige Leverandører
DK91,428491,Øvrige Leverandører
DK91,429228,Øvrige Leverandører
DK91,429643,Øvrige Leverandører
DK91,431945,Øvrige Leverandører
DK91,400807,Øvrige Leverandører
DK91,401166,Øvrige Leverandører
DK91,437507,Øvrige Leverandører
DK91,439041,Øvrige Leverandører
DK91,439087,Øvrige Leverandører
DK91,437010,Øvrige Leverandører
DK91,439399,Øvrige Leverandører
DK91,401841,Schulstad
DK91,440555,Øvrige Leverandører
DK91,438140,Øvrige Leverandører
DK91,442889,Øvrige Leverandører
