column_name_frontend,column_name_backend,source_value,target_value
Customer channel,customer_channel_id,1_Retail / In-Store,Retail
Customer channel,customer_channel_id,0,
Customer channel,customer_channel_id,0_N/A,
Customer channel,customer_channel_id,Catering,Food Service
Customer channel,customer_channel_id,Retail / In-Store,Retail
Customer channel,customer_channel_id,Food Industry,Industrial
Customer channel,customer_channel_id,1_Retail/In-Store,Retail
Customer channel,customer_channel_id,3_Industrial,Industrial
Customer channel,customer_channel_id,2_Food Service,Food Service
Customer channel,customer_channel_id,2_Catering,Food Service
Customer channel,customer_channel_id,3_Wholesale,Wholesale
Customer channel,customer_channel_id,3_Wholesale (Both Retail & Food Service),Wholesale
Customer channel,customer_channel_id,4_Industrial,Industrial
Customer channel,customer_channel_id,5_Internal,Internal
Customer channel,customer_channel_id,9_Other,Other
